section_number,question_number,question_text,short_title
4,25,Можно ли делать воду и баню в женские дни? Ориентироваться ли на индивидуальное состояние?,Вода и баня в женские дни
4,26,"Какой критерий допустимого течения в горной реке? Можно ли делать аскезы в горной реке, если течение не напрягает?",Горная река: допустимое течение
4,13,"В статике можно прерываться на 20 секунд три раза — а можно ли прерываться, находясь в воде или в бане (например, перебежать из одной бани в другую)?",Можно ли прерывать воду/баню как статику
4,16,"Можно ли делать статику два раза в день (например, утром алмаз, вечером бабочку) два–три раза в неделю? При этом утренняя статика ежедневно, вода 2–3 раза в неделю.",Статика 2 раза в день: когда уместно
4,17,При температуре воды +7 в озере — можно ли после воды согреваться пробежкой на 2 слоя? И при этом в другие дни бегать на 5 слоёв?,Согрев после +7°C: можно ли бегом
4,19,Если человек при переходе к 5 слоям делает воду 18 градусов на 1 слой — как правильно согреваться?,Согрев после воды 18°C на 1 слой
4,29,"Как организовать прогрев после проруби, если нет бани или горячей воды? Подходит ли зарядка, пробежка, укутывание или солнце?",Прогрев после проруби без бани
4,38,Можно ли сидеть в воде сразу после приёма пищи?,Вода сразу после еды: можно ли
4,2,"Когда лежишь в ванной или сидишь в бочке, вода от взаимодействия с телом согревается на 1–1,5°С. Нужно ли увеличивать время пребывания в воде или эта погрешность уже учтена в калькуляторе аскез? (Вопрос №7)",Нагрев воды телом: учитывать ли время
4,4,"Увеличивает (очищает) ли практика Чандра Намаскар (Приветствие Луны) энергию воды и если да, то на сколько? (Вопрос №15)",Чандра Намаскар и энергия воды
4,6,"Как происходит циркуляция энергии воды при выполнении статических упражнений во время движения в транспорте (поезд и пр.)? (Вопрос №29, уточнённая версия)",Энергия воды в транспорте: циркуляция
4,7,Человек может стоять на голове без перегрузки. Сколько раз в неделю можно практиковать стойку на голове? На какую часть тела идёт воздействие при этом? (Вопрос №4),Стойка на голове: частота и воздействие
4,10,Вопрос по статическому упражнению: в цигун есть поза дерева — подходит ли она для выполнения статики? (Вопрос №30),Поза дерева из цигун: подходит ли для статики
4,12,"В холодной воде, чтобы не дрожать, начинаю на вдохе и выдохе представлять движение энергии по каналам инда-пингала-сушумна. Насколько это правильно?",Дрожь в холодной воде: техника дыхания
4,14,Во время жестокой судьбы идёт адаптация количества аскез. Можно ли делать воду каждый день две недели? Есть ли такая же адаптация для динамики и поста?,Адаптация аскез при тяжёлой судьбе
4,23,Когда стоишь в воде после пробежки — обязательно ли кратковременно окунать голову?,Вода после бега: нужно ли окунать голову
4,24,Эффективно ли делать статику вечером на 5 слоёв после работы?,Статика вечером после работы: эффективность
4,27,"Можно ли держаться за руки под деревом? Можно ли делать статику «бабочка», опираясь спинами друг о друга?",Статика в паре: держаться/опираться
4,30,Можно ли заменить инверсионный стол висением вниз головой на турнике? Какая при этом скорость чистки?,Вис вниз головой вместо инверсионного
4,33,"Если греюсь в ванной 40°, но она набирается постепенно, и время на 2 слоя (13 минут) отсчитываю только когда тело покрыто водой — не пересиживаю ли я?",Ванна 40°C: считать время с погружения
4,34,Если дерево стоит под наклоном и на него опираешься — считать 65 минут или как возле дерева (1 час 40 минут)?,Статика у наклонного дерева: расчёт времени
4,40,"При прогревании в тёплой ванне нужно ли измерять температуру и время, или можно выходить, когда почувствовал согревание?",Прогрев: мерить температуру или по чувству
4,41,"Как происходит циркуляция энергии воды при выполнении статики в движущемся транспорте (поезд, автомобиль, самолёт)?",Энергия воды в транспорте: циркуляция
4,3,"В каких аскезах и на сколько подслоёв можно превышать 5 слоёв? Например, сидишь в ледяной воде, её уже не ощущаешь и решил ещё окунуться секунд на 30: в этом случае чистка уже начинается по второму кругу? (Вопрос №10)",Превышение 5 слоёв: когда допустимо
4,5,"Влияет ли на качество аскезы пребывание в воде без нижнего белья (дома в ванной)? Не является ли это оскорблением управляющего Ангела, который даёт нам эту энергию? (Вопрос №17)",Вода без белья: влияет ли на практику
4,8,"Когда делаешь статику в положении «стоя», как меняется интенсивность аскезы от ширины постановки ног, и меняется ли? Если ноги шире, стоять легче — значит ли это, что интенсивность аскезы ниже, или это заблуждение? (Вопрос №9)",Статика стоя: ширина ног и интенсивность
4,9,"Если при стрессе мы каждый день делаем воду на 5 слоёв, то статику нужно делать 2 раза в день на 5 слоёв? (Вопрос №23)",Стресс: нужно ли 2 статики на воду
4,11,Можно ли сочетать практику статики с разными практиками пранаямы? (Вопрос №22),Статика и пранаяма: можно ли сочетать
4,15,"Через сколько часов вымывается энергия воздуха из психического тела, если в самолёте энергия воды вымывается за 7 часов?",Сколько держится прана после самолёта
4,18,"Почему для всех людей одинаковый стандарт времени в холодной воде, несмотря на возраст, пол и состояние психических каналов?",Почему время в холодной воде одинаково
4,21,Можно ли прислоняться к стене при статике стоя и как это влияет на скорость и качество очищения?,Статика у стены: влияние на чистку
4,22,Какое положение ног допустимо в статике стоя — вместе или на ширине плеч?,Статика стоя: ноги вместе или шире
4,28,"Поза «складка»: время 50, 40 или 61 минута — какое актуальное? Влияет ли глубина наклона? Можно ли округлять спину или сгибать колени?",Складка: какое время и техника
4,31,"Если блокировка находится между двумя слоями, как это влияет на практику? Например, блок начинается в конце 5 слоя и заканчивается в начале 1.",Блок между слоями: как практиковать
4,32,"Если человек делает пост на 4 слоя, но блок между 4 и 5 — значит ли это, что он завершает практику внутри блокировки?",Пост и блок между 4–5: что делать
4,35,"Почему после купания разыгрывается аппетит, особенно у детей?",Аппетит после купания: почему
4,36,Сколько греться в тёплой ванне после холодной?,Сколько греться в тёплой ванне
4,37,Как выполнять методику в аквапарке: холодная вода → баня → холодная вода — когда вставлять тёплый бассейн?,Аквапарк: как встроить тёплый бассейн
4,39,Вода из крана 7.5 градусов: лежу на 5 слоёв с учётом нагрева тела — корректно ли это?,Вода 7.5°C из крана: корректность 5 слоёв
4,42,Иногда во время статики чувствую сухость во рту и губах — может ли это быть признаком нехватки энергии воды?,Сухость во рту в статике: нехватка воды?
5,14,"Средний пульс при пробежке 164–170, скорость 7 км/ч, дистанция 17 км (примерно 2 часа). Пульс годами не опускается ниже 164–165. Это допустимо?",Высокий пульс 164–170: допустимо ли
5,4,Можно ли пополнять энергию воздуха с помощью пранаямы? И как конкретно? (Вопрос №31),Статика и пранаяма: можно ли сочетать
5,12,"В новом калькуляторе динамика на 5 слоёв: 21,3 км за 4 часа, раньше было 21,6. На что ориентироваться — 21 км или новый расчёт? Погрешность важна?",Калькулятор динамики: новый vs старый
5,16,Есть склонность к запорам — это напряжение по воздуху. Но на 5 слое статики возникают позывы к опорожнению или крутит живот. Почему статика влияет на запоры?,Запоры и статика: почему появляется позыв
5,1,Бег с высоким пульсом лучше пробивает блоки по воздуху или хуже? (Вопрос №6),Пульс при динамике: нормы и риски
5,2,"Является ли критерием правильного бега пульс 140? Если можешь бежать быстрее и при этом пульс около 150, стоит ли снижать темп, чтобы держать 140? Значит ли это, что при 140 энергии получаешь больше, чем при более интенсивном беге с пульсом 150? (Вопрос №11)",Пульс 140: критерий правильного бега?
5,6,"После пробежки или ходьбы на 5 слоёв почти всегда болит голова. С чем это связано, если делаю все аскезы по воде и статике?",Головная боль после динамики: причины
5,15,Можно ли делать динамику 1 раз в 7 дней постоянно?,Динамика раз в 7 дней: допустимо?
5,17,"Можно ли направлять аскезы не только на здоровье, но и на материальный достаток, отношения, поиск партнёра? Не исчерпывают ли такие желания запас благочестия? Как правильно формулировать запрос?","Запросы в аскезах: деньги, отношения"
5,21,"Как правильно заменить ходьбу плаванием? Например тем, кому легче плавать — людям без ног, с больными суставами, слабым зрением.",Замена ходьбы плаванием: как считать
5,3,"Пробиваются ли динамические блоки, если человек только бегает и при этом не сидит в воде, не делает статику и пост? (Вопрос №12)",Только бег: чистятся ли блоки без остального
5,5,"Во время бега, когда становится тяжело, начинаю представлять, что бегу выше в воздухе. Как это влияет на прохождение блоков по воздуху и сколько слоёв при этом прочищается?",Визуализация «выше»: влияет ли на чистку
5,7,"Если нужно согреться в течение 35 минут после выхода из холодной воды — существует ли максимальное время, через которое можно заходить в холодную воду после пребывания в сауне?",После сауны: когда можно снова в холод
5,8,"В покое пульс 51–52. На 5 слоях пульс поднимается до 190 на 2–3 слоях, затем снова падает до 155 на 5 слое. Допустимы ли такие скачки пульса?",Скачки пульса до 190: допустимо ли
5,9,"Нарушается ли практика, если бегать на 5 слоёв не раз в 6 дней, а раз в 7–8?",Интервал динамики 7–8 дней: влияет ли
5,10,"Если человек ходит на 2, 3 или 4 слоя раз в неделю — имеет ли это смысл? Какой минимальный интервал аскез необходим для результата?",Меньше 5 слоёв раз в неделю: есть смысл?
5,11,"Муж и жена практикуют 4 года: муж бегает 5 слоёв за 2 часа, жена — почти 3 слоя за 2 часа и не может увеличить скорость. Это дисбаланс блоков на 4–5 слое динамики?",Разная скорость у супругов: дисбаланс?
5,13,"Меняется ли скорость чистки психического тела при длительном движении, если пульс со временем стал ниже, а темп остался прежним?",Пульс снизился: меняется ли скорость чистки
5,18,"Могут ли аскезы увеличивать гордыню, высокомерие, жёсткость сердца (например: «я молодец, бегаю на 5 слоёв, а вы — нет»)?",Гордыня от аскез: как не уйти в эго
5,19,"Можно ли зимой ходить на 3 слоя, а на морозе стоять или лежать в снегу на 5 слоёв?",Зимой: ходьба 3 слоя и снег 5 слоёв
5,20,Можно ли заменить ходьбу в зимний период на нахождение на морозе?,Можно ли заменить ходьбу морозом
6,5,"Во время пребывания в бане/сауне допустимо ли периодически охлаждать голову холодной водой, когда становится тяжело, чтобы дольше просидеть в бане? (Вопрос №28)",Охлаждать голову в бане: допустимо?
6,25,Можно ли полоскать рот маслом во время постов на 1–2 слоя и длительных постов? Влияет ли это на глубину очищения?,Масло для рта на посте: влияет ли
6,32,"Если на посте становится плохо вечером (тошнота, рвота желудочным соком), допустимо ли это? Что делать с желудочным соком при длительном посте?",Плохо на посте: тошнота и желудочный сок
6,34,"Во время поста возникает состояние «прострации» — отсутствуют желания, эмоции, наблюдение со стороны. Это нормальное состояние?",Прострация на посте: норма ли
6,1,"Увеличивает (очищает) ли практика Сурья Намаскар (Приветствие Солнца) энергию Солнца и, если да, то на сколько? (Вопрос №14)",Сурья Намаскар и энергия солнца
6,2,Выйдет ли таблица зарядки энергией Солнца с зависимостью от температуры окружающего воздуха (открытое солнце без облаков) и времени пребывания на солнце? (Вопрос №16),Таблица зарядки солнцем: выйдет ли
6,7,"Если каждый день делаешь интервальное питание (не ешь до обеда, пост 15–16 часов), то пост на 36 часов будет лучше пробивать блоки или нет? (Вопрос №13)",Интервальное питание и пост 36 часов
6,14,"Глазам неприятны прямые солнечные лучи, приходится щуриться. Можно ли использовать очки?",Очки на солнце: можно ли
6,17,"Можно ли сидеть в сауне в шапке, если энергия солнца входит через голову? Не уменьшает ли это наполнение солнцем в сауне?",Шапка в сауне: снижает ли солнце
6,19,"Если при интервальном питании нужно принимать таблетку утром натощак (гормональная терапия), прерывает ли это пост?",Таблетка натощак: прерывает ли пост
6,21,"Есть неразвитый блок по солнцу в начале первого слоя — почему, если каждый день не ем 3–4 часа?",Блок солнца при ежедневной паузе в еде
6,22,"При согревании в ванной 40 градусов можно ли погружать шею? Не будет ли перегрева, если шея в холодной воде погружаться не должна?",Горячая ванна: можно ли погружать шею
6,24,Пост на зелени: есть ли разница между смузи из зелени и свежей зеленью?,Пост на зелени: смузи vs свежая зелень
6,27,"Если лежать в горячей воде (примерно 40 градусов), насколько наполнение солнцем усиливается по сравнению с баней, постом или стоянием на солнце?",Горячая вода: наполнение солнцем vs баня
6,28,"Если ежедневно сидеть в воде, нужно ли делать статику два раза в день (так как желательно 2 статических практики на одну водную)?",Статика 2 раза в день: когда уместно
6,33,"Что делать, если не чувствуешь перегрева на солнце и можешь находиться на нём больше 5 слоёв каждый день? Может ли быть, что солнце не перегревает из-за особенностей энергий?",Нет перегрева: можно ли >5 слоёв солнца
6,35,"Если тело ноет во время поста — это блоки или нехватка микроэлементов? Вес 47 кг, рост 162, пост 60 часов.",Ломота на посте: блоки или дефициты
6,36,"Как проводить очистку в сауне на 5 слоёв, если вода в бассейне 28 градусов и нет возможности охлаждаться в более холодной воде? Есть только вода 12 градусов перед сауной и холодный душ после.",Сауна 5 слоёв без холодного бассейна
6,3,Усиливает ли энергию Солнца повторение святых имён Господа Рамы (управляющего божества Солнца)? (Вопрос №18),Святые имена Рамы и энергия солнца
6,4,"Если человек живёт в жаркой стране и его практика ходьбы по времени превышает время 5 слоёв нахождения на солнце, что ему делать? (Вопрос №27)",Жаркий климат: ходьба длиннее 5 слоёв
6,6,"Если человек склонен к полноте или уже имеет избыточный вес, может ли он заменить ужин зелёным смузи плюс постами на воде на 5 слоёв? (Вопрос №21)",Лишний вес: зелёный ужин и посты
6,8,В курсе нет информации о фитобочке. Можно ли её использовать вместо бани и сауны? (Вопрос №24),Фитобочка: можно ли вместо бани/сауны
6,9,Если в сауне или бане нет градусника — как измерить влажность и температуру? Нужно ли два отдельных прибора?,Баня без приборов: как мерить t и влажность
6,10,"Не совсем понятно, как наполняться солнцем на солнце.",Как наполняться солнцем на солнце
6,11,Как в прохладное или холодное время бегать без шапки для наполнения солнцем? До какой температуры можно не надевать шапку? Как быть с детьми?,Без шапки для солнца: до какой температуры
6,12,"Правило «Холод — Солнце — Холод». Как лежать в воде на 5 слоёв (температура 10–12 градусов) перед выходом на улицу, если на улице холодно?",Правило холод–солнце–холод в мороз
6,13,"Какая часть головы может быть прикрыта? Можно ли надевать бейсболку, если затылок открыт?",Бейсболка: какую часть головы закрыть
6,15,Как сам Олег Геннадьевич наполняется солнцем?,Как О.Г. наполняется солнцем
6,16,"Если лицо сильно реагирует на солнце (пятна, сосуды), как быть? Кремы помогают не всегда.",Реакция лица на солнце: что делать
6,18,"Дети сидят в воде 28 градусов 70 минут, затем согреваются в бане или горячей воде. Нужно ли снова идти в воду 28 градусов на 1 слой?",Дети: нужна ли вода 28°C после бани
6,20,"Можно ли принимать солнечную энергию, находясь в помещении за обычным (не тонированным) стеклом?",Солнце через стекло: работает ли
6,23,"При горячей ванне температура меняется, сложно точно выдержать время. Что лучше: немного не досидеть до 5 слоёв или пересидеть больше нормы?",Горячая ванна: недосидеть или пересидеть
6,26,"Можно ли сделать воду дома и поехать в сауну? Нужно ли охлаждаться перед сауной, если нагрелся по дороге? Если в сауне есть бассейн 28 градусов — стоит ли в нём охлаждаться или лучше под холодным душем?",Вода дома → сауна: как правильно связать
6,29,С какой практики начинать очищение энергии солнца? Нужно ли строго начинать с голодания?,С чего начинать очищение солнца
6,30,"Как определять время нахождения на солнце, если находишься в воде и влияние солнца не ощущается?",Солнце в воде: как считать время
6,31,"Как понять, когда нужно идти строго последовательно: зелень → вода → сухой пост → солнце → баня, а когда можно восполнять энергию солнца тем способом, который даётся легче?",Когда нужна строгая последовательность практи
6,37,"Какие энергии преобладают в умеренном морском климате (Бельгия, Англия, Нидерланды, Германия) и как они влияют на человека?",Морской климат: какие энергии преобладают
